latitude,longitude,date,county,state
44.555699,-113.369469,10/7/2011,Lemhi County,Idaho
38.9939375,-76.153401,10/31/2017,Queen Anne's County,Maryland
39.1479045,-79.659533,12/29/2000,Tucker County,West Virginia
43.088728,-120.145922,6/27/1989,Lake County,Oregon
45.6318155,-75.239771,12/19/2020,Papineau,Quebec
42.9201385,-94.248614,12/19/1984,Kossuth County,Iowa
35.042856,-97.011926,11/5/1987,Pottawatomie County,Oklahoma
39.685504,-99.933505,12/26/2018,Norton County,Kansas
39.3731445,-105.545073,3/20/2003,Park County,Colorado
44.80812,-120.750903,10/7/2007,Jefferson County,Oregon
40.447632,-90.421117,8/18/2023,Fulton County,Illinois
29.468061,-101.099167,7/14/2010,Acuña,Coahuila
38.8350605,-76.887049,11/6/2001,Prince George's County,Maryland
44.959505,-112.337366,11/14/2011,Beaverhead County,Montana
40.8894155,-96.471883,3/21/2014,Lancaster County,Nebraska
45.205691,-94.656412,4/14/2020,Meeker County,Minnesota
33.73841,-108.467318,12/3/2004,Catron County,New Mexico
43.9066885,-121.969129,11/8/2017,Lane County,Oregon
44.465357,-88.443729,10/7/2005,Outagamie County,Wisconsin
36.969533,-94.2583,8/14/1995,Newton County,Missouri
43.660424,-111.30911,11/5/2006,Teton County,Idaho
41.041976,-110.301695,5/9/1994,Uinta County,Wyoming
39.204609,-94.771466,3/20/1987,Platte County,Missouri
42.857476,-107.33589,2/24/1994,Natrona County,Wyoming
44.546494,-102.441067,10/15/2008,Meade County,South Dakota
42.2458975,-93.912321,4/17/1994,Hamilton County,Iowa
39.190962,-115.719882,10/21/2009,White Pine County,Nevada
31.3208925,-101.964735,1/16/2022,Upton County,Texas
33.3497685,-85.582446,2/10/2001,Randolph County,Alabama
36.662815,-78.97024,9/27/1989,Halifax County,Virginia
33.259856,-109.096282,4/1/2024,Greenlee County,Arizona
46.5508955,-119.632801,11/9/2001,Benton County,Washington
28.3152615,-113.69939,2/24/1997,Municipio de San Quintín,Baja California
42.1668925,-76.912631,1/10/1992,Chemung County,New York
31.2181795,-83.562463,3/15/2024,Colquitt County,Georgia
44.6578545,-71.246054,4/14/2020,Coös County,New Hampshire
33.6274155,-107.353067,9/16/1999,Socorro County,New Mexico
29.2123345,-108.692099,7/26/2010,Madera,Chihuahua
34.1633845,-78.01466,11/23/2020,Brunswick County,North Carolina
38.3069705,-105.852855,9/10/2006,Fremont County,Colorado
26.673307,-112.718622,9/23/2001,Municipio de Mulegé,Baja California Sur
46.64906,-118.241573,8/7/2007,Franklin County,Washington
26.6039505,-106.286903,11/25/2010,Balleza,Chihuahua
43.166357,-91.615366,6/14/1985,Winneshiek County,Iowa
29.77386,-101.349039,9/5/2010,Val Verde County,Texas
41.779553,-92.143079,10/10/2020,Iowa County,Iowa
35.427189,-115.019233,1/8/1998,Clark County,Nevada
39.647244,-104.169541,5/17/2007,Arapahoe County,Colorado
30.073979,-103.295882,11/1/2015,Brewster County,Texas
35.5278175,-102.989111,4/12/2008,Oldham County,Texas
45.399454,-74.026863,6/13/2000,Vaudreuil-Soulanges,Quebec
39.287949,-82.172175,9/4/2002,Athens County,Ohio
26.7915545,-113.667173,1/10/1999,Municipio de Mulegé,Baja California Sur
45.769854,-80.601025,4/9/1996,Parry Sound District,Ontario
45.236351,-102.59994,3/4/2008,Perkins County,South Dakota
36.4181675,-101.166741,12/31/2023,Hansford County,Texas
44.15563,-116.045204,5/25/2023,Boise County,Idaho
44.509342,-121.919212,12/12/2013,Linn County,Oregon
43.0510305,-105.165557,11/27/2015,Converse County,Wyoming
31.6144985,-91.359348,10/5/1996,Adams County,Mississippi
33.266853,-109.152626,7/30/1990,Greenlee County,Arizona
36.088239,-76.259785,3/10/2015,Perquimans County,North Carolina
39.596124,-92.554627,2/22/2015,Randolph County,Missouri
27.6179135,-105.534505,8/10/1999,Valle de Zaragoza,Chihuahua
30.830244,-84.511347,12/6/2021,Decatur County,Georgia
41.544169,-84.136016,10/28/1996,Fulton County,Ohio
31.336224,-85.1417,5/19/2016,Henry County,Alabama
36.0313805,-109.195327,6/14/2004,Apache County,Arizona
38.42562,-93.631832,4/21/2019,Henry County,Missouri
31.8644295,-102.374357,6/9/1996,Ector County,Texas
30.62567,-87.158144,12/26/1996,Santa Rosa County,Florida
41.9542895,-108.588707,6/30/1989,Sweetwater County,Wyoming
36.099559,-76.529353,11/9/2013,Perquimans County,North Carolina
36.9941735,-75.758756,7/26/1989,Virginia Beach (city),Virginia
44.332065,-113.654379,4/7/2021,Custer County,Idaho
31.027073,-81.868426,1/11/1999,Camden County,Georgia
31.020611,-105.078833,2/12/1986,Hudspeth County,Texas
42.4187455,-78.24656,8/24/1987,Allegany County,New York
39.792112,-86.636164,2/16/2004,Hendricks County,Indiana
30.0915135,-115.739213,10/20/1996,Municipio de San Quintín,Baja California
36.172952,-79.495933,5/14/2014,Alamance County,North Carolina
36.0930165,-83.129463,3/6/1989,Cocke County,Tennessee
42.717157,-109.326215,2/22/2019,Sublette County,Wyoming
45.4452045,-120.062564,2/11/1988,Gilliam County,Oregon
36.0336365,-105.64006,7/11/1999,Rio Arriba County,New Mexico
26.4321065,-112.255504,1/24/2013,Municipio de Comondú,Baja California Sur
29.92643,-85.486632,3/4/2013,Bay County,Florida
36.1233045,-106.919847,1/5/1989,Sandoval County,New Mexico
46.386332,-82.355572,6/14/2013,Algoma District,Ontario
41.182668,-123.675602,6/6/1999,Humboldt County,California
41.743766,-81.824175,6/20/1997,Cuyahoga County,Ohio
41.9901105,-82.532322,6/9/1988,Essex County,Ontario
39.842675,-92.186334,3/30/2014,Shelby County,Missouri
42.9750925,-102.891323,9/13/2017,Dawes County,Nebraska
37.587403,-96.077763,12/11/1997,Elk County,Kansas
40.5481825,-91.312943,3/22/2015,Hancock County,Illinois
43.542655,-83.528244,4/18/1991,Tuscola County,Michigan
29.9865775,-89.539423,12/1/2012,Saint Bernard Parish,Louisiana
46.4962525,-94.202756,7/11/2021,Crow Wing County,Minnesota
30.1387635,-89.649902,7/26/1987,Orleans Parish,Louisiana
37.245148,-116.615781,5/30/2004,Nye County,Nevada
36.0236205,-106.719981,4/7/1987,Rio Arriba County,New Mexico
44.682744,-118.028818,11/6/1995,Baker County,Oregon
43.184803,-72.159905,4/25/1988,Sullivan County,New Hampshire
39.2741635,-95.630425,7/28/2003,Jackson County,Kansas
29.6396205,-97.924132,8/13/2007,Guadalupe County,Texas
44.296735,-79.076902,4/18/2010,Durham Region,Ontario
45.406793,-111.704731,7/26/1996,Madison County,Montana
42.8712375,-72.753266,10/19/1986,Windham County,Vermont
43.9149595,-102.760291,1/6/2023,Pennington County,South Dakota
40.272248,-119.013056,9/24/2010,Pershing County,Nevada
43.1509795,-118.232734,2/29/2024,Harney County,Oregon
